location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date,price_per_sqft,amenity_score,month
Kileleshwa,Apartment,1,1,678.13,Parking (1),5850000,2026-02-17,8626.664503856193,1,2
Runda,House,4,5,3229.2,Parking (4),35000000,2026-02-17,10838.597795119535,1,2
Westlands,Apartment,1,1,1313.21,Parking (1),9600000,2026-02-17,7310.3311732320035,1,2
Westlands,Apartment,1,1,688.9,Parking (1),8790000,2026-02-17,12759.47162142546,1,2
Kileleshwa,Apartment,5,6,3950.39,Parking (2),41000000,2026-02-17,10378.722100855864,1,2
Lower Kabete,House,5,5,3821.22,Parking (4),110000000,2026-02-17,28786.61788643418,1,2
Kilimani,Apartment,2,2,947.23,Parking (2),9100000,2026-02-17,9606.95923904437,1,2
Westlands,Apartment,3,4,1722.24,Parking (6),25380000,2026-02-17,14736.622073578596,1,2
Westlands,Apartment,2,2,1926.76,Parking (2),23000000,2026-02-17,11937.137993315202,1,2
Westlands,Apartment,3,4,1915.99,Parking (6),22200000,2026-02-17,11586.699304276119,1,2
Westlands,Apartment,2,2,861.12,Parking (2),10000000,2026-02-17,11612.783351913786,1,2
Kileleshwa,Apartment,1,1,376.74,Parking (1),3450000,2026-02-17,9157.509157509157,1,2
Westlands,Apartment,1,1,462.85,Parking (1),5028000,2026-02-17,10863.130603867343,1,2
Westlands,Apartment,1,1,753.48,Parking (1),7800000,2026-02-17,10351.966873706004,1,2
Westlands,Apartment,1,1,613.55,Parking (1),7800000,2026-02-17,12712.9003341211,1,2
Westlands,Apartment,1,1,592.02,Parking (1),7800000,2026-02-17,13175.230566534914,1,2
Kitisuru,House,5,5,5382.0,"Parking (2), Security",75000000,2026-02-17,13935.340022296545,2,2
Kilimani,Apartment,1,1,645.84,Parking (1),6900000,2026-02-17,10683.760683760684,1,2
Rosslyn,House,4,4,4305.6,"Parking (4), Security",85000000,2026-02-17,19741.731698253436,2,2
Kilimani,Apartment,1,1,592.02,Parking (1),6500000,2026-02-17,10979.358805445763,1,2
Kiambu Road,House,4,5,3229.2,Parking (4),35000000,2026-02-17,10838.597795119535,1,2
Kilimani,Apartment,2,2,1291.68,Parking (1),14000000,2026-02-17,10838.597795119535,1,2
Kilimani,Apartment,3,3,1722.24,Parking (2),17100000,2026-02-17,9928.929765886287,1,2
Kilimani,Apartment,2,2,1130.22,Parking (1),9500000,2026-02-17,8405.443188051884,1,2
Kilimani,Apartment,2,2,1184.04,Parking (1),11500000,2026-02-17,9712.509712509713,1,2
Kilimani,Apartment,2,2,1216.33,Parking (1),12500000,2026-02-17,10276.816324517196,1,2
Kyuna,House,5,5,8105.29,Parking (3),115000000,2026-02-17,14188.264701201315,1,2
Westlands,House,5,5,8794.19,Parking (4),155000000,2026-02-17,17625.273049592968,1,2
Kilimani,Apartment,3,3,1399.32,Parking (1),15000000,2026-02-17,10719.492324843495,1,2
Syokimau,Townhouse,4,4,2475.72,Parking (2),15500000,2026-02-17,6260.80493755352,1,2
Westlands,Apartment,2,2,1216.33,Parking (2),13279000,2026-02-17,10917.267517861108,1,2
Kileleshwa,Apartment,4,5,2475.72,Parking (2),22000000,2026-02-17,8886.30378233403,1,2
Westlands,Apartment,2,2,1237.86,Parking (1),14575000,2026-02-17,11774.352511592588,1,2
Westlands,Apartment,3,5,1915.99,Parking (6),22200000,2026-02-17,11586.699304276119,1,2
Westlands,Apartment,3,4,2131.27,Parking (1),22550000,2026-02-17,10580.545871710296,1,2
Peponi,House,4,4,3229.2,Parking (3),85000000,2026-02-17,26322.308931004583,1,2
Syokimau,Apartment,4,4,1894.46,Parking (1),13900000,2026-02-17,7337.183155094328,1,2
Lavington,House,5,5,3229.2,Parking (3),100000000,2026-02-17,30967.4222717701,1,2
Kileleshwa,Townhouse,6,7,3283.02,Parking (4),67000000,2026-02-17,20408.038939756687,1,2
Karen,Townhouse,5,6,602.78,Parking (3),170000000,2026-02-17,282026.6100401473,1,2
Upper Hill,Apartment,1,1,990.29,Parking (1),10500000,2026-02-17,10602.954690040291,1,2
Upper Hill,Apartment,2,2,1216.33,Parking (1),12800000,2026-02-17,10523.459916305608,1,2
Kilimani,Apartment,2,2,979.52,Parking (1),11400000,2026-02-17,11638.353479255145,1,2
Upper Hill,Apartment,3,3,1872.94,Parking (2),19800000,2026-02-17,10571.614680662487,1,2
Upper Hill,Apartment,1,1,548.96,Parking (1),24209263,2026-02-17,44100.23134654619,1,2
Upper Hill,Apartment,1,1,548.96,Parking (1),24209463,2026-02-17,44100.5956718158,1,2
Westlands,Apartment,2,3,2389.61,Parking (4),21000000,2026-02-17,8788.044911094279,1,2
