location,property_type,bedrooms,bathrooms,size_sqft,amenities,price_kes,listing_date
Westlands,Apartment,1,1,721.19,Parking (1),9000000,2026-02-20
Kileleshwa,Apartment,2,2,861.12,Parking (2),7150000,2026-02-20
Kileleshwa,Apartment,2,2,807.3,Parking (2),7150000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),5110000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),5110000,2026-02-20
Westlands,House,2,3,1184.04,Parking (1),13000000,2026-02-20
Westlands,Apartment,3,4,1700.71,Parking (2),19800000,2026-02-20
Westlands,Apartment,3,4,1808.35,Parking (2),21800000,2026-02-20
Kilimani,Apartment,2,3,1076.4,Parking (1),10800000,2026-02-20
Kilimani,Apartment,1,1,807.3,Parking (1),8200000,2026-02-20
Kilimani,Apartment,2,3,1076.4,Parking (1),10800000,2026-02-20
Kilimani,Apartment,1,1,807.3,Parking (1),8200000,2026-02-20
Westlands,Apartment,2,3,1399.32,Parking (2),17800000,2026-02-20
Westlands,Apartment,3,4,1636.13,Parking (2),19500000,2026-02-20
Westlands,Apartment,4,5,2174.33,Parking (2),27000000,2026-02-20
Westlands,Apartment,1,1,592.02,Parking (1),7800000,2026-02-20
Lower Kabete,Apartment,1,1,548.96,Parking (1),4310000,2026-02-20
Westlands,Apartment,2,2,1184.04,Parking (1),10700000,2026-02-20
Westlands,Apartment,4,5,2174.33,Parking (2),27000000,2026-02-20
Kilimani,Apartment,3,4,1959.05,Parking (2),24000000,2026-02-20
Kilimani,Apartment,3,4,1862.17,Parking (2),22000000,2026-02-20
Westlands,Apartment,2,3,1345.5,Parking (1),13900000,2026-02-20
Westlands,Apartment,2,3,1345.5,Parking (1),13900000,2026-02-20
Westlands,Apartment,2,2,1485.43,Parking (2),20010000,2026-02-20
Westlands,Apartment,2,2,1485.43,Parking (2),20010000,2026-02-20
Westlands,Apartment,1,1,699.66,Parking (1),6500000,2026-02-20
Westlands,Apartment,1,1,699.66,Parking (1),6500000,2026-02-20
Westlands,Apartment,1,1,699.66,Parking (1),6500000,2026-02-20
Kilimani,Apartment,3,4,1959.05,Parking (2),24000000,2026-02-20
Kilimani,Apartment,3,4,1862.17,Parking (2),22000000,2026-02-20
Westlands,Apartment,1,1,721.19,Parking (1),8100000,2026-02-20
Westlands,Apartment,2,2,1108.69,Parking (1),11500000,2026-02-20
Westlands,Apartment,3,2,1291.68,Parking (2),15200000,2026-02-20
Westlands,Apartment,1,1,721.19,Parking (1),8200000,2026-02-20
Kileleshwa,Apartment,2,2,1280.92,Parking (1),12000000,2026-02-20
Westlands,Apartment,1,1,818.06,Parking (1),9000000,2026-02-20
Westlands,Apartment,1,1,731.95,Parking (1),7000000,2026-02-20
Kilimani,Apartment,5,6,3864.28,Parking (2),54000000,2026-02-20
Kilimani,Apartment,4,5,3250.73,Parking (2),48000000,2026-02-20
Kilimani,Apartment,4,5,2970.86,Parking (2),44000000,2026-02-20
Kilimani,Apartment,3,4,2206.62,Parking (2),32000000,2026-02-20
Lower Kabete,Apartment,1,1,365.98,Parking (1),4720000,2026-02-20
Lavington,Apartment,3,4,8406.68,Parking (2),30000000,2026-02-20
Westlands,Apartment,4,5,2292.73,Parking (7),37200000,2026-02-20
Westlands,Apartment,4,5,2292.73,Parking (7),37200000,2026-02-20
Westlands,Apartment,1,1,721.19,Parking (1),8200000,2026-02-20
Westlands,Apartment,4,5,2292.73,Parking (7),37200000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (4),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Kilimani,Apartment,5,6,3864.28,Parking (2),54000000,2026-02-20
Kilimani,Apartment,4,5,3250.73,Parking (2),48000000,2026-02-20
Kilimani,Apartment,4,5,2970.86,Parking (2),44000000,2026-02-20
Kilimani,Apartment,4,5,129.17,Parking (2),25000000,2026-02-20
Westlands,Apartment,1,1,516.67,Parking (1),6200000,2026-02-20
Kilimani,Apartment,3,4,2206.62,Parking (2),32000000,2026-02-20
Syokimau,Apartment,2,2,1162.51,Parking (1),8000000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,731.95,Parking (1),7000000,2026-02-20
Syokimau,Apartment,2,2,1162.51,Parking (1),8000000,2026-02-20
Westlands,Apartment,2,3,1410.08,Parking (1),15500000,2026-02-20
Kileleshwa,Apartment,2,2,1280.92,Parking (1),12000000,2026-02-20
Westlands,Apartment,2,2,1001.05,Parking (1),11800000,2026-02-20
Westlands,Apartment,2,2,1001.05,Parking (1),11800000,2026-02-20
Westlands,Apartment,3,2,1463.9,Parking (1),14800000,2026-02-20
Westlands,Apartment,1,1,688.9,Parking (1),8800000,2026-02-20
Kileleshwa,Apartment,2,2,914.94,Parking (2),7150000,2026-02-20
Kileleshwa,Apartment,2,2,914.94,Parking (2),7150000,2026-02-20
Kileleshwa,Apartment,2,2,914.94,Parking (2),7150000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),5110000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),5110000,2026-02-20
Kileleshwa,Apartment,1,1,699.66,Parking (1),5110000,2026-02-20
Westlands,Apartment,3,4,1711.48,Parking (2),22680000,2026-02-20
Westlands,Apartment,1,1,624.31,Parking (1),9000000,2026-02-20
Westlands,Townhouse,4,5,1044.11,Parking (3),85000000,2026-02-20
Westlands,Apartment,2,3,96.88,Parking (2),14000000,2026-02-20
Westlands,Apartment,2,3,1410.08,Parking (1),15500000,2026-02-20
Kileleshwa,Apartment,4,5,2906.28,Parking (2),24500000,2026-02-20
Kilimani,Apartment,1,1,645.84,Parking (1),6500000,2026-02-20
Kilimani,Apartment,1,1,645.84,Parking (1),6000000,2026-02-20
Kilimani,Apartment,1,1,592.02,Parking (1),6000000,2026-02-20
Kilimani,Apartment,1,1,592.02,Parking (1),5500000,2026-02-20
Syokimau,Apartment,3,4,548.96,Parking (2),11500000,2026-02-20
Kileleshwa,Apartment,2,2,914.94,Parking (2),7150000,2026-02-20
Kilimani,Apartment,1,1,301.39,Parking (1),10500000,2026-02-20
Westlands,Apartment,5,6,2852.46,Parking (4),35000000,2026-02-20
Westlands,Apartment,4,5,2271.2,Parking (3),27500000,2026-02-20
Mirema,Apartment,1,1,796.54,Parking (6),5200000,2026-02-20
Mirema,Apartment,1,1,796.54,Parking (7),5200000,2026-02-20
Mirema,Apartment,1,1,796.54,Parking (3),5200000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,441.32,Parking (1),5880000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (2),24610000,2026-02-20
Westlands,Townhouse,4,5,2292.73,Parking (2),31000000,2026-02-20
Westlands,Apartment,2,2,1011.82,Parking (2),12600000,2026-02-20
Westlands,Apartment,1,1,592.02,Parking (1),8100000,2026-02-20
Runda,House,4,6,3767.4,Parking (4),53000000,2026-02-20
Runda,House,4,5,3767.4,Parking (4),53000000,2026-02-20
Westlands,Apartment,1,1,753.48,Parking (1),9200000,2026-02-20
Westlands,Apartment,1,1,602.78,Parking (7),6800000,2026-02-20
Westlands,Apartment,1,1,721.19,Parking (1),9000000,2026-02-20
Westlands,Apartment,1,1,559.73,Parking (1),6440000,2026-02-20
Kileleshwa,Apartment,4,5,2906.28,Parking (2),25800000,2026-02-20
Westlands,Apartment,2,2,1291.68,Parking (1),12700000,2026-02-20
Spring Valley,Apartment,3,4,43.06,Parking (2),23100000,2026-02-20
Westlands,Apartment,3,3,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,3,4,1722.24,Parking (7),24400000,2026-02-20
Westlands,Apartment,2,2,1227.1,Parking (1),13000000,2026-02-20
